DOI,Title,Abstract
10.1007/978-3-319-95453-0_8,Lucid Dreaming,"Lucid dreams are defined as dreams in which the dreamer knows that she/he is dreaming. This fascinating state of mind is relatively rare but there is a variety of validated induction methods to increase lucid dream frequency. For the dreamer lucid dreams are fun (e.g., flying) and helpful (coping with nightmares or training motor skills). For the researcher, lucid dreaming is fascinating because skilled lucid dreamers can produce signals by moving their eyes in a specific pattern and the recording machine can measure these movements. For example, the dreamer can signal becoming lucid, then count to ten (or taking ten steps), and signal again. The researcher can check the recoding to know how long counting to ten took in the dream. In an fMRI-EEG study, a lucid dreamer did hand clenching in the dream and activity in the motor cortex was found; a sophisticated way to demonstrate the body-mind relationship during sleep."
10.7551/mitpress/7347.003.0083,Lucid Dreaming,Not scidirect/frontiers
10.4324/9780203772546-23,Interhemispheric EEG Coherence in REM Sleep and Meditation: The Lucid Dreaming Connection: Jayne Gackenbach,Not scidirect/frontiers
10.1201/b17676-3,Lucid dreaming,Not scidirect/frontiers
10.1016/b978-0-12-822963-7.00035-9,Lucid dreaming,Weird Scidirect No Abstract
10.31234/osf.io/bn8dr,Active Imagination as an  Alternative to Lucid Dreaming: Theory and Experimental Results,"Lucid dreaming (LD) is a fun and interesting activity, but most participants have difficulties in attaining lucidity, retaining it during the dream, concentrating on the needed task and remembering the results. This motivates to search for a new way to enhance lucid dreaming via different induction techniques, including chemicals and electric brain stimulation. However, results are still unstable. An alternative approach is to reach the lucid dreaming-like states via altered state of consciousness not related to dreaming. Several methods such as guided visualization, internal dialog, creative writing, hypnosis, hypnagogia, daydreaming, DMT trips, voice dialog, shamanic journey, rebirthing, and “forcing” tulpas can help in attaining such states. One of the most promising of them is Jungian “active imagination” (AIM) technique, which allows unconscious content to build up inside some mental frames. This article explores the hypothesis of replacing lucid dreaming research with active imagination, and the conditions and ways to accomplish it. Method: An open label pilot experiment was performed in 2004-2005 in Moscow, Russia with 100 participants. Results: The results show that there are two groups of people: ones with “visual imagination screen” and others have “mental imagination screen”. AIM works perfectly as a replacement for lucid dreams only for the first group of people. For the second group, it created interesting content, but not visual or emotional intensity equal to enter lucid dreaming like state. No known instruments helped to move the person from one group to another. The first group consisted of young females, while the second mostly contained males with rational and mathematical type of personality. Conclusion: AIM partly works as a replacement for LD, as it works great only for half of people, and it requires a sitter. However, AIM outperforms LD in reliability and availability in any circumstance: it could be performed even by text chat or in a crowd. It is also better than LD in retaining concentration on topic and the easiness of memorizing the results (which could be recorded). Self-performed AIM is less effective. AIM can be improved by intelligent chat bots as sitters and weak brain stimulation that can increase the probability of attaining something like hypnogogic state."
10.1016/s0262-4079(17)30323-8,Lucid dreaming for beginners,Weird Scidirect No Abstract
10.31219/osf.io/rh4qs,Partial memory reinstatement while (lucid) dreaming to change the dream environment,"Lucid dreams often coincide with having control over dream events in real-time, although the limitations of dream control are not completely understood. The current study probed the ability of lucid dreamers to reinstate waking scene memories while dreaming. After brief exposure to an experimental scene, participants were asked to reinstate the scene while lucid dreaming (i.e., change dream scenery to match real-world scene). Qualitative analysis revealed that successful dream scene reinstatements were overwhelmingly inaccurate with respect to the original experimental scene. Importantly, reinstatement inaccuracies held even when the dreamer was aware of them during the dream, suggesting a dissociation between memory access while dreaming and dream imagery. The ability to change the environment of a dream speaks to the high amount of lucid dream control, yet the inaccuracies speak to a lack of detailed control. Reinstating context during lucid sleep offers an experimental method to investigate sleep, dreams, and memory."
10.1007/978-1-4757-0423-5_7,The Psychophysiology of Lucid Dreaming,"Although we are usually unaware of the fact that we are dreaming while we are dreaming, at times a remarkable exception occurs, and our consciousness becomes lucid enough for us to realize that we are dreaming. Lucid dreamers report being able to freely remember the circumstances of waking life, to think clearly, and to act deliberately upon reflection, all the while experiencing a dream world that seems vividly real (Green, 1968; LaBerge, 1985a). This is all in contrast to the usual characterization of dreams as typically lacking any reflective awareness or true volition (Rechtschaffen, 1978)."
10.1007/978-1-4757-0423-5_13,Personal Experiences in Lucid Dreaming,"My first lucid dream arose from my discovery as a child of 5 that I could wake myself from frightening dreams by trying to shout “Mother!” Having gained confidence through this discovery that I could escape from unpleasant dreams, I allowed them to continue longer than before. The first time I did this was in a dream in which I seemed to be falling. My instinct was to wake myself before I reached the ground, but, instead, I allowed the fall to go on; by now I was fairly sure that there was no real danger because it was only a dream. As I remember, the fall ended in no sudden bump, but, instead, the dream changed and turned out not to be unpleasant at all."
10.21203/rs.3.rs-1303397/v1,"Nightmares, Mindfulness And Lucid Dreaming","Abstract
        A theoretical and empirical association between lucid dreaming and mindfulness, as well as lucid dreaming and nightmares has previously been observed; however, the relationship between nightmares and mindfulness has received surprisingly little attention. Here, we present the findings of two studies exploring the relation of nightmare frequency and distress with two components of mindfulness, termed presence and acceptance, as well as lucid dreaming. Study 1 (N=338) consisted of a low percentage of frequent lucid dreamers whereas Study 2 (N=187) consisted primarily of frequent lucid dreamers that used lucid dream induction training techniques and meditation. Mindful acceptance showed a more robust association with nightmare-related variables in comparison to mindful presence. Meditation expertise inversely related to nightmare frequency and the practice of lucid dreaming induction techniques inversely related to nightmare frequency and distress. Finally, in Study 2 a positive correlation between lucid dreaming frequency and mindfulness was apparent. The present findings support the notion that wakeful mindfulness is associated with the quality of dreams and extend previous research by suggesting a disentangled role of the two facets of mindfulness in dream variation. This association remains open for experimental manipulation, the result of which could have clinical implications."
10.1145/3532106.3533538,Lucid Loop: Exploring the Parallels between Immersive Experiences and Lucid Dreaming,Not scidirect/frontiers
10.1007/978-1-4757-0423-5_2,Lucid Dreaming in Western Literature,"Although Plato wrote that the faculty of reason is suspended during sleep, his pupil, Aristotle, was the first to state clearly, in his treatise On Dreams, that often, when we are asleep, there is something in our consciousness that tells us that what we are experiencing is only a dream. Beyond merely describing lucid dreaming, the “first scientist” also sought to explain how such a thing could happen. He argued that if someone were to place his finger directly in front of your eyes without your observing his doing it, the resulting double image would cause you to believe that you were seeing two fingers. If on the other hand, you were to observe his finger as it nears your eye, you would not be misled by your double vision into believing that there actually were two fingers. “Exactly so it is in the states of sleep,” Aristotle continued, “if the sleeper perceives that he is asleep, and is conscious of the sleeping state during which the perception comes before his mind, it presents itself still, but something within him speaks to this effect: ‘The image of Koriskos presents itself, but the real Koriskos is not present’ ” (Aristotle, 1952, pp. 702–706)."
10.1016/s0262-4079(12)61891-0,Games special: Lucid dreaming,Weird Scidirect No Abstract
10.1353/abr.2012.0184,Lucid Dreaming,Not scidirect/frontiers
10.7551/mitpress/2834.003.0069,Lucid Dreaming Verified by Volitional Communication During REM Sleep,Not scidirect/frontiers
10.25136/2409-8701.2022.5.38945,Lucid Dreaming Experience in the Context of Meditation Experience,"
 The subject of this study is to identify the connection between the experience obtained in lucid dreams and the experience of meditation. The object of the study is the experience that accompanies the state of awareness (Pali-sati). In the article, the author presents the results of a study aimed at establishing the connection between the experience obtained in lucid dreams and the experience of meditation. The works of the lucid dream researchers Stephen LaBerge, Jayne Gackenbach, Ursula Voss, Robert Waggoner, Tadas Stumbrys and others, as well as the work of researchers of the state of awareness - Bhikkhu Analayo, Henepola Gunaratana, Alan Wallace and others served as the theoretical and methodological basis of the study. The following research methods were used: the theoretical analysis of scientific literature, the analysis and generalization of empirical data, the formulation of conclusions. The theoretical significance and scientific novelty of the study lies in the systematization of theoretical provisions on the problem of the study of lucid dreams; discovering the features of the relationship of experience gained in lucid dreams with the experience obtained during meditation. The practical significance of the study lies in the fact that the results and conclusions of the study can be used by psychologists in their professional activities, as well as by lucid dreaming practitioners. The main conclusions of scientific research is the discovery of the similarity of experiences during lucid dreams with the experience gained in the state of meditation. The results of the survey conducted by the author show that a significant part of respondents who practice lucid dreaming also practice mindfulness meditation.
	"
10.1353/psg.2015.0021,On Lucid Dreaming,Not scidirect/frontiers
10.31234/osf.io/5x6hj,I did not expect to be dreaming: Explaining realization in lucid dreams with a Bayesian framework,"The commonsense view is that a lucid dream starts when the dreamer realizes that they are currently dreaming. The notion of realization, however, has been accepted at face value, with little consideration of whether the dreamer realizes that they are dreaming in the sense of actual reasoning, or if it is a mere epiphenomenon of lucid dream initiation. This article offers a solution to this problem by, first, arguing that the transition to lucidity can occur as a result of successful reasoning, and second, building a model of this reasoning in terms of probabilistic reasoning. The established Bayesian model explains realization in lucid dreams taking under consideration two factors: the beliefs that the dreamer holds on what is generally probable and improbable, and the dreamer’s admissibility of being in a dream. Defended against important objections, the model offers an explanation of lucid dream initiation, relevant for future research on dreaming."
10.1007/978-1-4757-0423-5_10,Individual Differences Associated with Lucid Dreaming,"Lucid dreaming has been said to be within the capability of all individuals (LaBerge, 1985). Based on analyses of the incidence of this dream experience among university students and among persons with an expressed interest in dreaming, a majority have reported experiencing at least one lucid dream during their lifetime, and about 20% have reported experiencing lucid dreams with relative frequency. Our goal in this chapter is to describe and to integrate what has been learned through research about individuals who experience lucid dreams. To this end we will present data derived from the study of four separable but not unrelated functional domains for which subject differences associated with lucid dreaming, or lucidity, have been found. These functional domains are (1) oculomotor/equilibratory; (2) visual/imaginal; (3) intellectual/creative, and (4) personal/interpersonal. The extent of individual differences in lucid dreaming and the methods by which these differences have been investigated will also be discussed. Because methodology is an integral part of research into individual differences, methodological considerations will first be presented."
10.1007/978-3-319-07296-8_29,Does Your âSingle-Mindedâ Characterization of Dreaming Now Find Confirmation and Explanation in the Lucid Dreaming Data?,"The descriptions by Dr. Hobson and others of lucid dreaming (states in which the dreamer has a reflective awareness that he is dreaming) demonstrate nicely that what we have called the “the single-mindedness” (absence of that reflective awareness) in most dreams is not an inevitable attribute of dreaming per se. Rather, by techniques described by Dr. Hobson and others, lucidity can be induced in association with dreams that would otherwise be single-minded. In turn, this means that lucidity must originate from specific brain processes. Early imaging studies showed low levels of frontal lobe neural activity during REM sleep, suggesting that the mechanism for lucidity might be at least partly localized to that area. This hypothesis is bolstered by reports of dream-like mentation during wakefulness in patients with frontal lobe injury."
10.1002/jts.20601,Lucid dreaming and resilience in the face of exposure to terrorism,Not scidirect/frontiers
10.1016/b978-0-323-24288-2.00052-0,Lucid Dreaming,Weird Scidirect No Abstract
10.4324/9781003223474-9,Lucid dreaming,Not scidirect/frontiers
10.1002/ch.390,Lucid dreaming Ã¢ÂÂ dreams of clarity,Not scidirect/frontiers
10.31525/ct1-nct03913988,Comparative Effectiveness of Three Lucid Dreaming and Sleep Hygiene Techniques,Not scidirect/frontiers
10.1016/s0924-9338(15)31372-9,Lucid Dreaming: a Mysterious Phenomenon,Weird Scidirect No Abstract
10.1007/978-1-4757-0423-5_12,Clinical Applications of Lucid Dreaming,"We explore in this chapter the value of lucid dreaming. For most of us, learning to dream lucidly requires supreme effort and highly focused attention. Why bother to make such exertions? What benefits can we hope to gain for our clients or ourselves?"
10.3389/fnins.2020.00361,On Moving the Eyes to Flag Lucid Dreaming,No Frontier Abstract No Abstract
10.1075/aicr.20.14lab,Varieties of Lucid Dreaming Experience,Not scidirect/frontiers
10.4101/jvwr.v11i2.7249,Dreaming the Virtual: How Lucid Dream Practice Can Inform VR Development,"Using the grounded theory method (GTM), this article proposes an “integral” model for studying the development and use of virtual and augmented reality (VR/AR) technologies. Integral models seek holistic understanding by combining third-person, empirical perspectives with first-person, subjective experience. Here, the proposed model provides a comparative analysis of immersive virtual reality (VR) platforms and the practice of lucid dreaming (maintaining conscious self-awareness while dreaming). Based on a discursive analysis of technologists’ statements about VR, and a review of literature on lucid dreaming, this article identifies a largely unexamined area of research. Indeed, the proposed model suggests that dream research is highly relevant to VR development as a catalyst for ethical critique of emerging commercial technologies. Though informed by Buddhist philosophy, this is primarily a secular approach based in moral-developmental psychology and contemplative studies. It constitutes an example of Contemplative Media Studies, which involves the application of contemplative practices and principles to the critical analysis of media technologies, content, and institutions."
10.4324/9781315224701-5,Vestibular Involvement in the Neurocognition of Lucid Dreaming,Not scidirect/frontiers
10.1017/s0140525x00574020,Lucid dreaming: Evidence and methodology,"Lucid dreaming provides a test case for theories of dreaming. For example, whether or not “loss of self-reflective awareness” is characteristic of dreaming, it is not necessary to dreaming. The fact that lucid dreamers can remember to perform predetermined actions and signal to the laboratory allows them to mark the exact time of particular dream events, allowing experiments to establish precise correlations between physiology and subjective reports, and enabling the methodical testing of hypotheses.[Hobson et al.; Solms]"
10.18318/td.2016.5.7,"Nieoniryczna konwencja ""literatury snu"". Lucid dreaming i postrealizm w ""Scenach ÅÃ³Å¼kowych"" Adama Wiedemanna",Not scidirect/frontiers
10.46889/jnor.2022.3303,Impact of Sleep and Brain Science of Lucid Dreaming: Insights into Therapeutic Applications,"Lucid dreaming is being conscious within one’s own dream. In recent years, dream lucidity has started to attract more attention not only from the broad neuroscience field but also from applied neurology, psychiatry, sports performance science, or art therapy areas. The aim of this research is to investigate and evaluate some of the therapeutic potentials of dream lucidity. The findings propose that the emergence of self-awareness during sleep could have various health and wellness benefits and applications. Analysis and evaluation of existing neuroscientific data on lucid dreaming was performed and combined with own investigations and methodological insights. In addition, virtual reality training and transcranial direct current stimulation areas of research were also investigated in the context of potential applications for inducing dream lucidity. Results show that various clinical and non-clinical applications of lucid dreaming techniques might be effectively employed in reducing nightmares, increasing mindfulness, or as an experimental treatment for individuals suffering from certain mental health disorders like narcolepsy or post-traumatic stress disorder. It’s further suggested that dream lucidity training might help with sleep quality while reducing daytime stress and anxiety. Nevertheless, further research and caution in this area are required to fully understand both the therapeutic benefits and potentially negative long term consequences of cultivating lucid dreaming."
10.3389/fpsyg.2013.00987,"Volitional components of consciousness vary across wakefulness, dreaming and lucid dreaming","Frontier's Consciousness is a multifaceted concept; its different aspects vary across species, vigilance states, or health conditions. While basal aspects of consciousness like perceptions and emotions are present in many states and species, higher-order aspects like reflective or volitional capabilities seem to be most pronounced in awake humans. Here we assess the experience of volition across different states of consciousness: 10 frequent lucid dreamers rated different aspects of volition according to the Volitional Components Questionnaire for phases of normal dreaming, lucid dreaming, and wakefulness. Overall, experienced volition was comparable for lucid dreaming and wakefulness, and rated significantly higher for both states compared to non-lucid dreaming. However, three subscales showed specific differences across states of consciousness: planning ability was most pronounced during wakefulness, intention enactment most pronounced during lucid dreaming, and self-determination most pronounced during both wakefulness and lucid dreaming. Our data confirm the multifaceted nature of consciousness: different higher-order aspects of consciousness are differentially expressed across different conscious states."
10.28995/2658-5294-2020-3-3-66-83,âDREAM HACKERSâ. THE RELIABILITY OF LUCID DREAMING,"It  is  difficult  to  assess  recollection  of  dreams  by  reliability  of  what  happened  despite  the  fact  that  the  opposition  “reality  –  dream”  is considered  a  cultural  universal.  Such  a  task  grows  even  more  complex  as  one  turns  to  recollection  of  so  called  lucid  dreams.  The  article  covers  different types of messages published on the Dream Hackers forum. That  online community is the largest Russian-language platform for publishing  such  texts.  The  dream-hackers  believe  that  it  is  possible  to  control  the  dreams,  create  maps  of  the  dreamed  places  and  objects  common  for  different dreamers and jointly experience dream plots. Among the stories  of  the  forum  participants  one  may  find  the  stories  about  the  so-called  “talismans”, or, the specific objects that can be transferred from the dream  to  the  material  world,  as  well  as  the  mentions  of  the  different  marks  left  on the body of a dreamer after waking up, such as scratches, wounds etc.  Such beliefs blur the line between the dreaming and the wakefulness and  question the credibility of the reality itself. Furthermore, the article analyzes the basic functions of the mapping  of “lucid  dreams”  mapping.  The  most  important  of  the  functions  is  to  increase  the  “awareness”,  in  other  words,  to  achieve  the  key  state  of  consciousness for the dream hackers."
10.1016/j.paid.2004.02.003,Lucid dreaming frequency and personality,Weird Scidirect No Abstract
10.3389/fpsyg.2019.02585,Is It a Good Idea to Cultivate Lucid Dreaming?,No Frontier Abstract No Abstract
10.3389/fpsyg.2020.01885,Lucid Dreaming Brain Network Based on Tholeyâs 7 Klartraum Criteria,"Frontier's Lucid dreaming refers to a dream state characterized by the dreamers’ awareness of being in a dream and being able to volitionally control its content. The aim of this study was to describe and model neurophysiological evidence for the seven awareness criteria of lucid dreaming based on those proposed by Paul Tholey. Each of the awareness criteria was analyzed separately with regard to its underlying neurocircuits. We hypothesized that not one, but several regions are involved in the state of lucid dreaming. Our results have shown a satisfactory overlap of the awareness criteria and the brain regions activated. During lucid dreaming, a brain network seems to emerge, that is something other than the sum of its parts. Further research is needed to understand the psychoneurological underpinnings of lucid dreams."
10.5665/sleep.4676,Increased Lucid Dreaming Frequency in Narcolepsy,Not scidirect/frontiers
10.1016/j.mehy.2013.04.049,Neurobiology and clinical implications of lucid dreaming,Weird Scidirect No Abstract
10.5665/sleep.4516,Lucid Dreaming in Narcolepsy,Not scidirect/frontiers
10.30965/9783846761571_008,TrÃ¤umen und Wachen im Schlafl abor: Die verschachtelte RealitÃ¤t des âºLucid Dreamingâ¹,Not scidirect/frontiers
10.1145/3290607.3312952,Lucid Loop,Not scidirect/frontiers
10.1075/aicr.79.21hob,Lucid dreaming and theÂ bimodalityÂ ofÂ consciousness,Not scidirect/frontiers
10.1159/000289106,Lucid Dreaming as a Treatment for Recurrent Nightmares,Not scidirect/frontiers
10.1006/ccog.1994.1014,Lucid Dreaming as Metacognition: Implications for Cognitive Science,Not scidirect/frontiers
10.3390/rel9030081,A Day in the Life of an Aesthetic TÄntrika: From Synaesthetic Garden to Lucid Dreaming and Spaciousness,Not scidirect/frontiers
10.1055/s-0033-1353315,"Dream recall, nightmares and lucid dreaming in narcoleptic patients",Not scidirect/frontiers
10.1016/j.sleep.2006.02.010,Lucid dreaming during Multiple Sleep Latency Test (MSLT),Weird Scidirect No Abstract
10.1109/var4good.2018.8576889,Can Lucid Dreaming Research Guide Self-Transcendent Experience Design in Virtual Reality?,Not scidirect/frontiers
10.1177/0276236617742622,Lucid Dreaming: A Diary Study," Most studies looking into the relationship between lucid dream frequency and personality were based on questionnaire measures of lucid dream frequency. Thus, the aim was to investigate the effect of keeping a dream diary on lucid dream frequency and the correlates of the frequency of lucid dreams in the diary with the Big Five personality factors. The study included 1,612 dreams reported by 425 persons. The present findings showed that lucid dreams are quite rare (1.36%) in an unselected student sample. The frequency of lucid dream in the 2-week diary period was lower than the retrospectively estimated lucid dream frequency. Whereas the negative association between lucid dream frequency and agreeableness was reported previously, the negative correlation between lucid dream frequency and neuroticism is a new finding. Furthermore, the exploratory analysis showed that a considerable number of lucid dreams did not include some form of dream control. Furthermore, it would be very interesting to study the relationship between personality, especially neuroticism and agreeableness, and lucid dreaming in a more detailed way. "
10.1558/imre.v19i2.28563,"What American College Students Want from Religion: Facebookismanity, Lucid Dreaming, and Bodhisattva Tupac Shakur",Not scidirect/frontiers
10.24972/ijts.2021.40.2.64,The Luminous Night of the Soul: The Relationship between Lucid Dreaming and Spirituality,"Lucid dreams, in which the dreamers are aware that they are dreaming, can be a source of spiritual and mystical experiences. This empirical study aimed to explore the relationship between lucid dreaming and spirituality, taking into account the role of mystical lucid dream experience, in an online sample of 471 respondents, 95% of whom had lucid dream experience and 65% were frequent lucid dreamers. The findings support the relationship between lucid dreaming and spirituality: spiritual transcendence was positively associated with both lucid dream frequency and mystical lucid dream experiences. Thus having recurrent lucid dreams and mystical experiences in them may foster spiritual growth, rendering lucid dreaming possibly a viable spiritual practice, especially within the secular context. However, the correlative nature of the present research does not imply causality and further longitudinal research confirming this is needed."
10.1093/sleep/zsaa056.237,"0239 Mindfulness Moderates the Relationship Between Lucid Dreaming, Nightmare Distress, and Sleep Quality","Abstract
               
                  Introduction
                  Nightmares can cause poorer sleep quality. Various mechanisms have been explored as potential treatments for nightmares, including mindfulness practices and lucid dreaming. Presently, little literature has looked at the interaction effects between mindfulness and lucid dreaming to reduce nightmare distress.
               
               
                  Methods
                  A sample of 275 individuals was recruited from both the United States and Thailand via social media and a student pool of research subjects at UNC Charlotte. Data were recorded on participants’ demographic information, lucid dreaming from the Lucidity and Consciousness in Dreams Scale (Voss et al., 2013), Mindfulness using the Five Facet Mindfulness Questionaire (Baer et al., 2006), Nighmares via the Nightmare Distress Questionaire (Belicki, 1992), and sleep quality using the Pittsburgh Sleep Quality Index (PSQI; Buysse et al., 1989). Higher scores on each measure were associated with more lucid dreaming, more mindful behaviors, more severe nightmares, and poorer sleep quality. PROCESS model 8 was run to conduct a moderated mediation analysis (Hayes, 2018). Lucid dreaming was used as the predictor; sleep quality as the outcome variable, nightmare distress as the mediator and mindfulness acted as a moderator on both the direct and indirect pathway of lucid dreaming onto the mediator and outcome.
               
               
                  Results
                  Mindfulness was a significant predictor at both the mediator and outcome variables. Nightmare distress was a significant predictor of sleep quality. A statistical trend (p=.054) suggests lucid dreaming may have a positive effect on nightmare distress. In the indirect path, lucid dreaming had a positive effect on PSQI scores only for individuals with low mindfulness.
               
               
                  Conclusion
                  The moderated mediation suggests that individuals with low mindfulness may see a decrease in sleep quality from lucid dreaming. This could be due to lucid dreaming being associated with more severe nightmares. A zero-effect size could not be ruled out of the confidence intervals for individuals of average or high mindfulness, but the data suggest that lucid dreaming alone may not help treat nightmares, but the combination of lucid dreaming and mindfulness therapies could promote lower distress and better sleep quality.
               
               
                  Support
                  Psychological Sciences departmental funding
               "
10.1109/vr.2018.8446546,Lucid Virtual Dreaming: Antecedents and Consequents of Virtual Lucidity During Virtual Threat,Not scidirect/frontiers
10.3389/978-2-88966-591-4,"âIs this a Dream?â â Evolutionary, Neurobiological and Psychopathological Perspectives on Lucid Dreaming",No Frontier Abstract No Abstract
10.1159/000095446,Lucid Dreaming Treatment for Nightmares: A Pilot Study,"&lt;i&gt;Background:&lt;/i&gt; The goal of this pilot study was to evaluate the effects of the cognitive-restructuring technique ‘lucid dreaming treatment’ (LDT) on chronic nightmares. Becoming lucid (realizing that one is dreaming) during a nightmare allows one to alter the nightmare storyline during the nightmare itself. &lt;i&gt;Methods:&lt;/i&gt; After having filled out a sleep and a posttraumatic stress disorder questionnaire, 23 nightmare sufferers were randomly divided into 3 groups; 8 participants received one 2-hour individual LDT session, 8 participants received one 2-hour group LDT session, and 7 participants were placed on the waiting list. LDT consisted of exposure, mastery, and lucidity exercises. Participants filled out the same questionnaires 12 weeks after the intervention (follow-up). &lt;i&gt;Results:&lt;/i&gt; At follow-up the nightmare frequency of both treatment groups had decreased. There were no significant changes in sleep quality and posttraumatic stress disorder symptom severity. Lucidity was not necessary for a reduction in nightmare frequency. &lt;i&gt;Conclusions:&lt;/i&gt; LDT seems effective in reducing nightmare frequency, although the primary therapeutic component (i.e. exposure, mastery, or lucidity) remains unclear."
10.1523/jneurosci.3342-14.2015,Metacognitive Mechanisms Underlying Lucid Dreaming,Not scidirect/frontiers
10.1093/sleepj/zsx050.730,"0731 THE RELATIONSHIP BETWEEN VIDEO GAME USE, GAME GENRE, AND LUCID/CONTROL DREAMING",Not scidirect/frontiers
10.2466/pms.71.6.627-644,"THE MULTIPLICITY OF DREAMS: COGNITIVE-AFFECTIVE CORRELATES OF LUCID, ARCHETYPAL, AND NIGHTMARE DREAMING",Not scidirect/frontiers
10.1093/sleepj/zsx050.1076,1077 LUCID DREAMING IN VETERANS WITH PTSD: NON-NIGHTMARE DREAMS AND NIGHTMARES,Not scidirect/frontiers
10.5114/nan.2021.113320,Psychophysiological basis of lucid dreaming,Not scidirect/frontiers
10.1016/j.concog.2021.103163,I did not expect to be dreaming: Explaining realization in lucid dreams with a Bayesian framework,Weird Scidirect No Abstract
